Ulasan,label_sentimen
barang sih bagus suruh request jangan via chat padahal cuma nanya gilir tulis note malah tidak baca hadeh sabuk atas contoh sabuk bawah terima,positive
ukuranya xl nya terlalu ngepass cenderung kecil bahan biasa banget,negative
ukuranya pas,neutral
jahitanya label kiri bawah kurang rapi,neutral
ukuranya pas bahan bagus dengan aman,positive
barang bagus,positive
sampai barang cepat,positive
ukuranya pas,neutral
beli pertama sini dapat kain bagus warna biru akhir repeat warna hitam pas kain kok beda akhir minta tuker warna biru kirainnya bakal dapat kayak kain pertama nyata beda banget kecewa sih,neutral
kualitas tidak bagus pernah beli harga sama,negative
barang tidak sampai2 respon chat pese instan mau minggu tidak kirim2,neutral
sangat bagus,positive
bahan panas gampang kusut,neutral
tidak sesuai pesan,negative
bahan okeademwarna oke,positive
dasi kirim saja ada kotak kosong kirim sama dasi tidak tau maksud apa gepeng kotak,neutral
biasa,negative
bahan nyaman fittingnya pas pelayananya cepat,positive
ukuranya pas,neutral
terlalu mahal,negative
keren,positive
maaf iya min saya warna kuning kurang tarik,negative
ukuranya bentuk kurang kalau bahan bagus,positive
ukuranya pas kualitas oke,positive
sesuai pesan bagus,positive
tidak sesuai chart ukuranya ukuranya baju sangat besar sekali produk biasa dengan kain cendrung bulu,positive
ukuranya tidak konsisten,negative
ukuranya tidak cocok,negative
design kualitas okthanks sellerdapat bonus sisir ukuranya pas,positive
tidak lihat banding harga,neutral
barang kualitas bagus,positive
alhamdullilah barang sesuai pesan kirim thanks sesuai harga terimakasih,positive
ukuranya pas tinggi badan 160 170 cuma,neutral
kecee pass bukan ganteng ukuranya pas,negative
murah memang murah,positive
bahanya tipis tidak kaya lama,negative
tipis,neutral
produk baik,positive
soal kualitas brand tidak perlu ragu bahan tebal nyaman tidak buat gerah barang kirim sesuai gambar pesan,neutral
edit ulas baru pakai 2 kali jahitanya ada robek resleting rusak kaya produk tidak lolos kualitas kontrol,negative
warna pudar,neutral
warna hitam pudar,neutral
lama,negative
bahan memang chinos asa panas beda chino branded saya punya cut aneh saya bagi angkle besar jadi kayak cut bray gtu model ukuranya beda celana satu ukuranya sama 40 lebih press lebih ketat bagi paha telah cuci bahan makin kerut jadi makin ngepress tidak nyaman pakai ekspektasi cukup tinggi celana ini tapi memang banyak perlu tingkat,negative
b,neutral
kasih bintang 4 ada sedikit defect bagi resleting besi karatteroxidasi nyata warna tidak light khakicreme di foto warna nya lebih dark khaki,neutral
bahan nya bagus warnaya sesuai,positive
tidak sesuai warna payah,negative
paling suka model kaos polos kayak gni bahan nyaman badan tidak bkin gerah tb 165 bb 54 beli ukuranya m pas,positive
bahan nya tipis kait tali nya penyok,negative
oversize hongkong kasih judul sesuai produk dong kak jangan kasih judul gampang cari,positive
ukuranya pas,neutral
ukuranya kecil,neutral
cukup,positive
bahan tipis,neutral
barang saya terima tiba tidak sesuai jadwal malah lebih lama yang ngantar mungkin ambeyen buat dingkol toko bagus,positive
ukuranya pas berat badan 60 70 kg,negative
warna tidak sesuai pesan,negative
selalu suka fittingnya hoc entah beli celana kargo 2 kali dua2nya baru sekali pakai kancing lepas semua,positive
sesuai pesan warna off putih nya cukup bagus lingkar pinggang 78cm sangat pas ukuranya 28 overall sangat puas produk terimakasih houseofcuff ukuranya pas berat badan 60 kg,positive
ukuranya pas,neutral
barang lumayan bagus sesuai foto,positive
ukuranya pas tinggi badan 160 170 cuma berat badan 71 80 kg,neutral
bagus,positive
sedikit kecewa 3 kaos d jadi 1 plastik gulung bukan lagiiiiiiiii,positive
kaos polos sini tidak pernah kecewa,positive
salah satu saku baju yang jahitanya jadi nempel sama bagi dalammungkin kualitas kontrol nya lebih tingkat,neutral
bagus,positive
selalu suka sama kualitas kaos jaman kuliah dulu sekarang,positive
barang saya terima beda pesan,neutral
mantappppppp beli 3,positive
model bagus bahan bagus moga sukses terus,positive
ukuranya pas,neutral
warna kurang presisi,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 60 kg bahan bagus,positive
model keren sipp,positive
barang stok terlalu lama gudang bagi jamur semua,negative
,neutral
lama banget kirim respon jual buat follow up barang jasa ekspedisi tidak terlalu baik,positive
premium cotton gerah cuy soal bahan katin 50 polister 50 enak softstyle lebih adem,neutral
ukuranya pas,neutral
harga murah barang cukup bagus moga awet,positive
bahan luar ekspetasi yah,neutral
salah motif,negative
panas,neutral
sangat bagus guna aktifitas hari hari,positive
sanggah tidak kuat beda yang pes,negative
nyaman pakai ukuranya sesuai model keren warna mantap tidak terawang jahit rapi makasih sesuai pesan,positive
bahan cukup bagus murah proses cepat,positive
ukuranya pas tinggi badan 160 cuma,neutral
beli 3 dasi pilih ukuranya sama pas nyata ukuranya beda,neutral
barang pesan saya terima lengkap sesuai pesan material bahan jahitanya bagus,positive
respon cepat kemas bagus barang sesuai,positive
jahitanya tidak rapih kancing tidak masuk kecewa,negative
bahan baju kurang lembut lembut bahan bagi leher mohon tingkat lembut seluruh bahan baju iya ada turtle neck shirt bahan baju lembut banget adem bahan spandek kabarin iya saya mau beli turtle neck shirt bahan lembut bahan spandek gitu hehe,positive
bagus,positive
bahan nya tipis banget jahitanya nya tidak rapih harga gin victoria busana bandung dapat lebih bagus,positive
minta ukuranya m kirim ukuranya l,neutral
kurang besar lingkar pinggang lingkar paha,negative
bagus,positive
kualitas sesuai harga lumayan lah,positive
bahan,neutral
model keren ringan unt acara santai ukuranya pas,positive
ukuranya pas berat badan 60 70 kg,negative
habis cuci sobek jahit bagi samping,neutral
barang sangat tipis jahitanya tidak rapi,negative
xl kok kayak m,negative
produk bagus seller,positive
bahan bagus kancing tidak yang kendor jahit rapi perfect,positive
pas badan bahan enak,positive
ukuranya pas berat badan 60 70 kg tinggi badan 160 170 cuma,neutral
bahan bagus tidak tipis nyaman even pakai kerja hari lihat iya tinggi 169cm berat 65 kg tidak perut buncit badan isi otot celana aman panjang pas atas ankle expendable waistnya bantu banget,positive
ada jahitanya samping warna tidak penuh bugundyada bercak putih,negative
ukuranya badan pakai enak adem bahan bagus thanks,positive
kaos tipis banget pikir heavy cottontebal nyata tidak,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 80 kg,neutral
barang tidak sesuai kualitas buruk,negative
mantap kaos bahan adem ukuranya pas,positive
bahan stretch jahitanya bagus,positive
nice originalll,neutral
bagus banget,positive
ukuranya tidak sesuai tentu,negative
beli kemeja keduabahan jahitanya bagus,positive
bahan tebal adem nyaman buat aktivitas,positive
ukuranya pas,neutral
jenis bahan sangat tidak kualitas sintetis gampang tusuk nambahin lubang,neutral
ukuranya pas tinggi badan 180 cuma berat badan 97 kg xl bahan bagus finishing rapi ayo buru beli,positive
ukuranya pas,neutral
tinggi 170 bb 78 xl nya mayan mantap kain biasa bagus,positive
tidak lubang kancing celana,neutral
produk bagus baik response kirim baik beli beberapa kali mohon kirim lebih cepat jam hari kirim toko sayang beli di toko yang mau merespon kirim sesuai mohon padahal kami mau pakai produk house of cuff,positive
ukuranya liliput,neutral
ukuranya pas tinggi badan 160 170 cuma,neutral
ukuranya m lingkar kepala terlalu lebar,neutral
lem jahitanya rapi ringan pakai ukuranya pas kaki nyaman pakai model keren,positive
barang nya bagus,positive
good stuff,neutral
cuttingannya jelek tiap baju beda2,negative
bahan enak adem lemah di kantong saku baru pakai 1 hari lubang sangat kecewa durability kantong mohon tim kualitas kontrol nya lebih perhati,negative
beli ikat pinggang kulit belum dibolongin sih kerja user suruh ngelobangin sendiri kalau lubang kurang iya wajar kalau custom di hoc tidak ada orang qa kualitas kontrol rnd erti konsep percentile buat produk,negative
bahan bener2 adem banget tidak tipis bahan pokok nyaman banget thank iya,positive
terima kasih tokopedia sen sudah tiba ukuranya pas,positive
bagus celana moga awet,positive
lumayan ukuranya badan pas panjang celana sip banget bahan kain ringan lumayan tebal jahitanya lumayan rapih bolehlaah,positive
ukuranya tidak biasa biasa pakai l cukupyg ukuranya l sini lebih kecil,neutral
sayang jahit tidak rapi kurang profesional,positive
jauh aman tidak rusa apa awet mudah mudah tahan lama thanks for speed delivery,positive
motif tidak sesuai display di pesan,negative
jahit kurang rapih ukuranya kecil harus ukuranya xl besar ini xl nya kecil kualitas kurang bahan kaku bukan bahan kanvas bagus,positive
tipis banget,negative
ukuranya pas,neutral
ukuranya pas tinggi badan 160 170 cuma berat badan 60 kg,neutral
bagus banget,positive
kirim golong cepat ukuranya tidak masalah bahan cukup bagus saja jahitanya celana golong buruk karena baru sekali pakai lepas2 jahit lihat gambar,positive
saya celana nya bagus terima kasih iya,positive
seperti barang ini tidak alami kualitas kontrol begini beli jadi 2 kali kerja yang ini kasih b3 tidak kembali juga saya memang butuh cepat depan baik kualitas kontrol nya terimakasih,positive
barang oke sesuai harga jahit rapi model keren,positive
ukuranya pas,neutral
ukuranya pas,neutral
produk tidak sesuai deskripsifoto warna tidak sesuai jahitanya kurang rapi packaging,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 60 70 kg moga awet deh bahanya tebel motif bagus,positive
jahitanya amburadul bahan setip sabar,positive
ukuranya terlalu kecil,negative
,neutral
navy lebih arah hitam ralat nyata warna hitam serius kali belum kirim pasti dulu,positive
ukuranya pas,neutral
barang bagus,positive
kualitas celana kurang bagus bahan tipis jahitanya ada lepas sekali pakai selangkang lgsg brudul ky foto layan so so lah ukuranya 33nya agak besar tidak slimfit saya overall harga gin kembali ke konsumen nilai objektif saya iya konsumen beli celana jadi no hurt feelings,positive
jual lambat respons tanda ukuranya kemeja lepas bahan lumayan tipis klaim tidak gampang kusut gampang kusut moga bantu,negative
best buy bulan sih celana bahan sama potong cakeup,neutral
bahan lembut,positive
jahitanya tidak rapih kirim lama,negative
warna datang salah pesan warna biru tua datang warna hitam,negative
warna tidak sesuai yang pesan ada konfirmasi langsung kirim,negative
bahan bagus ukuranya press body,positive
ukuranya pas bahan tipis moga awet,neutral
produk mantap sesuai warna ukuranya pas,positive
ukuranya pas,neutral
lumayan,positive
bagus bahan halus nyaman good next order,positive
bagus adem ses skripsi sesuai harga ukuranya pas,positive
sempit,neutral
kualitas lebih bagus beli depstore harga relatif sama,positive
bahan tipis panas tdak sesuai,positive
kecewa berat produk tidak sesuai di ingat asal kirim proses kembali rumit mau maki dosa toko juara kategori salah kirim,negative
gambar yang datang beda sangat buruk kualiatas nya kira betul produk sedang promo nyata memang barang murah,negative
warna beda iya gambar kalau direspon edit bintang,neutral
ukuranya pas,neutral
kemeja potong tidak rapi banyak jahitanya tidak rapi lebih proses kirim lama banget padahal next day loh,negative
sesuai harga hehe,positive
kirim sangat lambat pesan hari kamis baru urus kirim hari senin sore jawab beri sangat tidak muas,negative
ukuranya pas,neutral
sangat sesuai saya harap,positive
kirim lama,negative
bahan bagus sizenya pas mantap pkokya,positive
bahan lumayan kasar kurang nyaman pakai ukuranya tidak standar lebih besar biasa oversize,positive
ukuranya terlalu kecil,negative
ukuranya pas tinggi badan 171 180 cuma berat badan 80 kg,neutral
keren sih bahan adem ukuranya sesuai puas deh next bakal repeat order,positive
ukuranya pas sesuai pesan harga murah kirim cepat terima kasih iya,positive
barang bagus buat bahan kualitas baik bentuk topi sesuai gambar warna barang beda warna kirim warna biru pes abuabu jenama lokal sudah punya nama baik house of cuff milik kemas dus khusus topi beri info apabila warna produk pes stok kosong terima kasih,positive
kaos kondisi baik sangat sayang beda ukuranya beli 2 hari lalu sama2 m lebih besar yang hari sampai kualitas kontrol nya lebih teliti,positive
ukuranya pas tinggi badan 171 180 cuma,neutral
bahan enak banget kualitas premium bakal reorder sih,positive
kemas terima ada tersobekterbuka foto tidak wa kurir kalau barang datang ambil ada di depan pintu mohon investigate,neutral
ukuranya pas,neutral
ukuranya xl satu yang jelek,negative
ukuranya pas,neutral
ukuranya pas jahitanya lumayan bahan golong tiiipiss buat harga segitu,positive
kantong celana bagi robek kancing kait lepas ukuranya celana sesuai bahan stretch,negative
jahitanya benang kurang rapi beranta kecewa,negative
warna keren,positive
ukuranya pas tinggi badan 171 180 cuma berat badan 71 80 kg,neutral
okee sih recommend banget bahan adem nyaman pakai pokok all the best this produk,positive
kualitas lain kasar bayang,negative
model oke bahan lumayan oke jahitanya rapih ukuranya pas tks bonus,positive
bagus,positive
buat daily nongki2 santai lagi dipak,positive
bahan tidak sesuai harga,negative
tipis,neutral
ukuranya terlalu kecil ukuranya pas tinggi badan 160 170 cuma,negative
ukuranya peckingan sesuai order,positive
warna sablon lihat bagus,positive
bahan bagus,positive
gambar cenderung oval datang malah kotak terus bahan ringkih banget tidak yang di foto plastik kaya plastik main mohon maaf saya jujurr iya,positive
bahan enak sesuai deskripsi,positive
tipis,neutral
lubang kancing tidak dibolongin ukuranya xl kok kecil mungkin yang kurang riset ukuranya kirim sangat lambat sama2 jakarta pesan hari sabtu baru hari kamis,negative
jual ramah packing aman kacamata aduh kenapa miring segala sisi astagaaaa bentuk beda jauh sama foto foto lebih bulat datang persis kotak,positive
tipis yah bahan nya harga sama mungkin bnyak lebih tebal bahan,neutral
kualitas harga kurang 200 jangan harap banyak bukan premium banget lah harga gin utama resletingkancingnya asa tidak solid so 4 iya,negative
yelow nya tidak soft,neutral
barang sampai warna tidak sesuai kualitas bahan tipis benar kecewa,positive
tidak dapat stiker,neutral
yang 2 sama barnag bagus,positive
ukuranya pas,neutral
good,neutral
bahan enak adem ukuranya pas tinggi badan 160 170 cuma berat badan 80 kg,positive
bahan nya bagus enak pakai nyaman asli keren,positive
ukuranya terlalu kecil bahan kurang tebal,negative
bad,neutral
bahan bagus jahitanya rapi ukuranya pas d badan tidak longgar,positive
kualitas produk bagus produk sesuai foto,positive
beli baru lho kenapa lecek gin iya sangat sayang sekalimulai packing terus quality kontrol produk padahal customer kalau puas bisa bawa orang juga beli,positive
bahan kasar,negative
produk sesuai foto desain bagus,positive
oke,positive
bagus bahan nya adem dapat promo thanks seller,positive
bahan kurang bagus saku kurang hari pakai pods korek jadi korban ketawa,negative
bahan tipis jahitanya kurang rapi bahkan kain kantong celana nya ikut jahit yang buat ikat pinggang,neutral
b,neutral
tinggi badan 174 cuma pas sih bahan kurang bagus nerawang sedikit tidak halus gampang kusut sesuai harga sih,neutral
keren moga pakai awet,positive
kardus buat kirim kurang bagus buat kirim luar pulau akhir topi peyok tidak rapi next time kirim luar pulau baik nya kasih bubble wrap apa biar tetap rapi,neutral
bahan kasar,negative
bahan tipis buat panas tidak serap keringat buat bau,negative
beli ukuranya l tinggi badan 168cm berat badan 75kg mantap rekomendasi seller harga kualitas barang bagus kelas internasional ukuranya pas tinggi badan 160 170 cuma,positive
bahan bagus packaging bagus cocok untuk kado,positive
barang,neutral
minta tukar barang barang tukar bisa pakai biasa make celana ukuranya 3435 merk2 pesan celana ukuranya 36 tidak muat akhir aju tukar nomot 37 akhir muat lucu nya saya order warna hitam sempat aju tukar barang nomor 37 tapi sempit banget padahal model dan ukuranya nya sama dar masuk saja buat calon2 beli kalau mau order baik nya pesan 23 ukuranya atas ukuranya celana yang biasa di pakai,positive
fit oke bahan oke jahitanya oke mantap,positive
jahitanya pinggang kiri robek gitu asli,neutral
good,neutral
bagus,positive
kecil tidak sesuai ukuranya,negative
barang sesuai suka,positive
overall bagus,positive
produk sesuai pesan kualitas baik respon cepat good seller,positive
ukuranya pas,neutral
harga kualitas bahan di ikan tidak banding,neutral
ukuranya terlalu besar,positive
2 kali order 1 waktu dua nya salah kirim warna barang di order mocca kirim abuabuini bilang bukan ketidaksengajaan andai salah 2 order dalam 1 waktu tsbsecara kualitas biasa sajaterimakasih,negative
seller responsif sepatu nyaman pakai empuk kirim aman terima kasih sukses selalu,positive
ukuranya pas tinggi badan 160 170 cuma berat badan 60 70 kg,neutral
respon lama,negative
bahan bagus jahitanya rapih pas pakai,positive
barang tidak sama foto bentuk kancing beda detail bahan kaku agak panas,neutral
tidak plastik bungkus masing2 baju saya beli,neutral
lumayan,positive
bonus celana ukuranya chart nya kurang pas kembali rumit proses parfum oke wangi,negative
keren,positive
ukuranya pas tinggi badan 160 170 cuma berat badan 71 80 kg,neutral
kualitas bagus bahan oke warna pilih sesuai pesan kok lubang tidak lubang bagaimana cara pakai kalau repot tukang jahitanya dulu mana bayar cuma lubang gituan coba sendiri pakai gunting cutter juga susah terlalu tebal huftt,positive
ukuranya no 36 sedikit kurang panjang besar harus bagi kaki sedikit cingkrang kurang panjang lihat foto lubang kancing buntu lihat foto jahitanya kurang rapi lebih harga murah jadi kualitas sesuai harga,positive
barang nya bagus,positive
barang sesuai pesan,positive
kantong samping asa kecil hape sering jatoh,neutral
minta batal salah pilih ukuranya jual bilang tidak usah batal cukup ganti langsung pas kirim nyata tiba gagal manuver ukuranya,negative
tipis banget,negative
ukuranya tidak sesuai yang cantum pandu ukuranya bahan terawang,negative
bahan tipis mirip kaos 100 ribu dapat 3 pcs pasar malam kecewah,neutral
bahan oke,positive
cukup memuaskanoverall bagus,positive
model premium ukuranya pas,neutral
bahan terlalu tipis,negative
pesan tanggal 21 dikabarin tanggal 24 kalau barang kosong beuuh layan macam apa,neutral
tipis banget,negative
bahan biasa banget kain kaku beda sama celana ukuranya panjang padahal 1 merek,negative
ukuranya pas,neutral
jahitanya kancing tidak kuat,negative
ukuranya pas kerah nya kaku bagus,positive
ukuranya xl nya terlalu ngepass cenderung kecil bahan biasa banget,negative
ukuranya pas,neutral
produk bagus layan cepat,positive
ukuranya pas,neutral
kaos nya bagus,positive
lumayan,positive
ukuranya pas cuma iya gitulah tinggi badan 160 cuma,neutral
ukuranya terlalu kecil,negative
siip,neutral
tipis banget kantong celana liat sangking tipis nya,negative
xxl nya kecil,neutral
tidak worth it jauh gapernah kasih rating bawah 5 celana baru pakai beberapa kali salah gerak sedikit jahitanya bobrok,negative
sering beli mantap bahan,positive
ukuranya nya tidak benar masa 3xl lebar real nya 53cm pas ukuranya jadi tidak pakai tidak muat bahan sedikit tipis bagus belum nya beli oversized bagus banget yang agak kecewa,positive
tipis sekali bahan terlalu nerawang,negative
ukuranya pas,neutral
warna sesuai bahan bagus,positive
barang salah kirim dateng ukuranya xl,negative
tidak kasih plastik per 1 baju,neutral
layan tidak profesional barang tidak sesuai gambar komplaiin d cuekin,negative
cuttingannya jelek tiap baju beda2,negative
saya cuttingannya jelek polo rajut saya beli sini atau beda bahan iya baik lah untung harga 50rban dapat cashback ada maju sih sekarang kirim tepat waktu dulu dulu misal beli hari sama kirim h1 nya,neutral
bahan nyaman,positive
barang di kirim warna navy pesan warna ijo,neutral
besar,positive
ukuranya pas,neutral
biasa,negative
salah ukuranya,negative
ukuranya pas,neutral
bahan ukuranya pas sesuai deskripsi,positive
diskon sih kasih produk bercak putih gin kecewa,negative
kaku banget bahan tidak angkat tangan satu bagi atas topi fedora harus tidak seka keras,negative
tidak sesuai pesan,negative
ukuranya pas,neutral
jahitanya kurang rapi iya,neutral
sablon kurang,negative
mantap,positive
bagus kualitas finising nya rapih,positive
lupa kalau chino overall,neutral
beli sekian kok beda panjang baju iya tidak sesuai deskripsi pendek mohon kualitas kontrol belum kirim,negative
jauh estimasi kurir payah damage box layan kurang muas admin nya,negative
tinggi badan 180 cuma ukuranya nya pas pakai ukuranya 31 bb 66,neutral
kualitas kurang,negative
ukuranya terlalu besar,positive
baru cuci sekali baru pakai sekali kantong jebol padahal cuma ngantongi hp aduh bagaimana sih,neutral
kualitas bagus sesuai harga,positive
ukuranya terlalu kecil berat badan 71 80 kg prasangka kalau bb 7080 pke l pas nyata bagi pinggul nya kecil jadi nya ke pakai,negative
kualitas tidak banding harga,neutral
benar aja kalau buat kantong masa baru hari pakai cuma buat hp masa jebol,positive
ukuranya 32 kecil sini iya,neutral
bahan jelek sekali kecil panjang kaki bawah tidak bagus sama sekali,negative
tidak pernah gagal mesen dsini barang bagus kirim cepat thanks,positive
barang mantap rekomendasi beli sini,positive
bagus banget kualitas atas ekspektasi rekomendasi pis lah,positive
kecewa bahan kurang bagus lihat murah banyak bekas lipat tidak hilang sudah setrika jahit kurang banget banyak bekas benang jahitanya tidak potong desain memang bagus kalau bahan kayak gin sih baik beli baju,neutral
bahan tipis buat panas tidak serap keringat buat bau,negative
tidak lubang kancing foto tidak patch kulit pas barang ada patch kulit,neutral
datang beda sama order belum padahal model pilih sama lihat fotoooo kanan beli bulan lalu kiri beli bulan padahal jarak beli kurang 3 minggu,neutral
barang bagus,positive
oke lah buat harga gin,positive
ukuranya pas,neutral
mantap barang kualitas sesuai gambar,positive
lubang kancing ada hes lubang sendiri,neutral
kualitas jelek,negative
sesuai deskripsi cocok anak recommensed seller,positive
warna tidak sesuai kualitas bahan tipis benarkecewa,negative
warna tidak sesuai deskripsi kualitas lumayan bagus,positive
jahitanya sobek,neutral
puasss mantap sukses terus,positive
ukuranya pas tinggi badan 160 170 cuma,neutral
ukuranya pas,neutral
pesan apa kirim apa kirim sangat lama admin tidak responsif,negative
sudah 3 kali beli chinosnya resletingnya selalu masalah depan baik,neutral
ukuranya pas,neutral
ukuranya pas tinggi badan 160 170 cuma,neutral
bahan adem enak punya 2 lusin,positive
repeat order walaupun di cuci ulang kali baju nya tetap enak pakai nyaman adem,positive
nice,neutral
sablon tulisanya jelek,negative
barang tidak sesuai gambar khusus bagi saku,negative
harga 150 ribu tidak oke kualitas jahitanya beranta tidak lubang kancing pinggang lobangin sendiri tidak rekomendednilai plus di kirim cukup cepat,positive
ukuranya pas,neutral
bintang 3 seller tangkas bagus barang maaf kurang puas bagi depan sama belakang beda warna di print cuma bagi depan bahan kurang baik kalau pakai buat layak saputangan seperti tidak i know this is a suit handkerchief harus primary purposenya tetap buat lap keringat sneeze wipe etc barang seperti cuma jadi add ons nya jas mohon maaf apabila kurang betkenan reviewnya moga kritik buat lebih baik terima kasih,positive
pesan 2 kali order jeda tidak 15 menit pesan 1 langsung kirim pesan 2 skg di proses gila lama proses nya barang bukan po,positive
ukuranya pas tinggi badan 180 cuma berat badan 80 kg,neutral
bahan,neutral
barang bagus,positive
ukuranya pas mantap terima kasih,positive
mantap min,positive
ukuranya pas nyaman kirim cepat packing rapi,positive
ukuranya xxl tspi s tidak true ukuranya,neutral
warna salah model salah seller kurang bertaggung jawab,negative
bagus sesuai ukuranya,positive
mantap barang sesuai ekspektasi,positive
mohon ketat kualitas kontrol nya risleting rusak terima tidak kembali lebih cepat baik biaya sendiri,positive
kira tebal nyata tipis semua barang cepat melar,positive
ukuranya terlalu besar,positive
38 kecil ngepress banget,neutral
ukuranya pas bahan nyaman sesuai spesifikasi packing kirim,positive
cukup kecewa,neutral
keren nyaman bahan nya,positive
ukuranya kecil nyata akhir buat anak,neutral
ukuranya pas,neutral
syukur beli dua produk muas,neutral
kurang rapi tidak bersih jahitanya beranta bahan tipis tidak rekomendasi beli sini walaupun official store sekalipun toko,negative
warna nya sesuai ekspektasi,positive
pesan sampai terima kasih,positive
bahan bagus warna sesuai selalu suka beli toko harga ada kualitas 4x beli sini jadi koleksi semua warna terima kasih seller ukuranya pas,positive
nyata cukup tipis,positive
kualitas jahitanya kurang baik bahan saku kurang bagus advise for sizing cukup jauh selisih good luck,positive
produk lumayan emas buruk dus lembek jadi mudah penyok topi jadi tekuk,positive
mantap sesuai pesan,positive
baju bagus,positive
lumayann,neutral
tidak bagus kualitas nya,negative
barang bagus sesuai gambar,positive
repeat order dua pesan 2 black ukuranya m ukuranya kerah beda 1 pas 1 kecil leher,neutral
ukuranya pas,neutral
barang kualitas bagus banget packingnya bagus lebih aman,positive
lama banget kirim nya semingu lebih barang ukuranya sama beda lebar nya musti ditingkatin kualitas kontrol nya sih,negative
kata nya kantong tau nya tidak d tulis lah d deskripsi nya biar tidak bingung,positive
ukuranya pas,neutral
mantap,positive
kain tipis semua lubang kancing tutup jadi potong sendiri jadi keluar benang2 lubang sabuk oversize resleting pendek ukuranya 34 warna resleting kok warna coklat jadi kesan nya murah mudah2an depan lebih baik,positive
waktu beli dapat sambung sekarang mulai rusak,negative
ukuranya pas,neutral
bahan kurang bagus baru pakai nyata jahit lepas tidak rapi ada kantong ikut jahit seperti tidak kualitas kontrol dlpengiriman lama,negative
panjang tidak sesuai deskripsi harus panjang 104cm nyata cuma 100cm orang tinggi saya jahit,negative
harga terlalu mahal bahan setip,negative
barang datang jumlah kurang yang di bayar,negative
